xref_pfam,count,pfam_name
PF11380,1,"Stealth protein CR2, conserved region 2 (family)"
PF11382,1,"Copper transport outer membrane protein, MctB (family)"
PF11402,1,Antifungal protein (family)
PF11414,1,Adenomatous polyposis coli tumour suppressor protein (family)
PF11477,1,Sialyltransferase PMO188 (family)
PF00160,1,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD (domain)
PF11531,1,Coactivator-associated arginine methyltransferase 1 N terminal (domain)
PF11587,1,Major prion protein bPrPp - N terminal (family)
PF11628,1,T-cell surface glycoprotein CD3 zeta chain (family)
PF00158,1,Sigma-54 interaction domain (domain)
PF11647,1,Membrane Localization Domain (domain)
PF00114,1,Pilin (bacterial filament) (domain)
PF00586,1,"AIR synthase related protein, N-terminal domain (domain)"
PF13531,1,Bacterial extracellular solute-binding protein (family)
PF20442,1,BREX system Lon protease-like protein BrxL N-terminal (domain)
PF00038,1,Intermediate filament protein (coiled_coil)
PF19256,1,LAIKA domain (domain)
PF19257,1,BURAN domain (domain)
PF19258,1,KxYKxGKxW signal peptide (conserved_site)
PF19263,1,Family of unknown function (DUF5906) (family)
PF19335,1,Heavy metal binding domain (domain)
PF19423,1,E3 ubiquitin-protein ligase UBR4 N-terminal (domain)
PF20067,1,"Strictosidine synthase-like, N-terminal (repeat)"
PF20164,1,GspA/SrpA SigLec-like domain (domain)
PF20476,1,Family of unknown function (DUF6718) (family)
PF00045,1,Hemopexin (repeat)
PF20492,1,"Ezrin/radixin/moesin, alpha-helical domain (coiled_coil)"
PF20585,1,Putative pectate lyase-like adhesive domain (repeat)
PF20628,1,"Dyp-type peroxidase, C-terminal (domain)"
PF00031,1,Cystatin domain (domain)
PF00030,1,Beta/Gamma crystallin (domain)
PF00026,1,Eukaryotic aspartyl protease (family)
PF20744,1,Tail fibre protein gp37 trimerization region (repeat)
PF20899,1,"Pasteurella multocida toxin, C2 domain (domain)"
PF20929,1,"Programmed cell death protein 10, dimerisation domain (domain)"
PF00040,1,Fibronectin type II domain (domain)
PF19156,1,Family of unknown function (DUF5838) (family)
PF13532,1,2OG-Fe(II) oxygenase superfamily (domain)
PF18526,1,Thymine dioxygenase JBP1 DNA-binding domain (domain)
PF18053,1,DNA gyrase B subunit insert domain (domain)
PF18100,1,Phosphodiesterase 4 upstream conserved regions (UCR) (domain)
PF18102,1,Deltex C-terminal domain (domain)
PF18104,1,Jumonji domain-containing protein 2A Tudor domain (domain)
PF18131,1,KN17 SH3-like C-terminal domain (domain)
PF18201,1,PIH1 CS-like domain (domain)
PF18213,1,SUB1 protease Prodomain ProdP9 (domain)
PF18372,1,Integrin beta epidermal growth factor like domain 1 (domain)
PF18416,1,N-acetylglucosamine binding protein domain 2 (domain)
PF18563,1,TubC N-terminal docking domain (domain)
PF00057,1,Low-density lipoprotein receptor domain class A (repeat)
PF00062,1,C-type lysozyme/alpha-lactalbumin family (domain)
PF18797,1,Adenomatous polyposis coli (APC) repeat (repeat)
PF18837,1,Leucine-rich repeat (repeat)
PF18861,1,"TM proximal of protein tyrosine phosphatase, receptor type J (family)"
PF18938,1,Atypical Rib domain (domain)
PF18947,1,HAMP domain (domain)
PF18957,1,Long Rib domain (domain)
PF19028,1,Spondin-like TSP1 domain (domain)
PF19030,1,Thrombospondin type 1 domain (domain)
PF21002,1,Transmembrane protein 106 N-terminal region (family)
PF21089,1,Polyketide synthase dehydratase domain (domain)
PF21127,1,"ATG1-like, MIT domain 2 (domain)"
PF22702,1,Cas9 RuvC domain (domain)
PF22314,1,"NPC1, middle luminal domain (domain)"
PF22397,1,DarT1-associated NADAR antitoxin (family)
PF22441,1,CLIC-like N-terminal domain (domain)
PF22514,1,EXPB1-like domain 1 (domain)
PF22528,1,Arginine methyltransferase oligomerization subdomain (domain)
PF22548,1,"TOTE conflict system, Archaeo-Eukaryotic Primase domain (domain)"
PF22562,1,UBA-like domain (domain)
PF22605,1,IBR domain (domain)
PF22691,1,Thiolase C-terminal domain-like (domain)
PF22705,1,"Butyrophilin subfamily 3 member A2-like, Ig-C domain (domain)"
PF21149,1,"Fatty acid synthase, pseudo-KR domain (domain)"
PF22709,1,Mu Gam/Sipho_Gp157-like domain of the TOTE conflict systems (domain)
PF22753,1,"Peptidoglycan O-acetylesterase, N-terminal (domain)"
PF22796,1,SlpA N-terminal domain (domain)
PF22797,1,SlpA domain II (domain)
PF22800,1,CFAP410 C-terminal domain (domain)
PF22814,1,Carrier-protein-independent halogenase WelO5 (family)
PF22822,1,"MrpR, N-terminal core-binding domain (domain)"
PF22823,1,"MrpR, C-terminal catalytic domain (domain)"
PF22920,1,UvrC Ribonuclease H-like domain (domain)
PF22148,1,Fervidolysin N-terminal prodomain (domain)
PF22041,1,"Glutathione S-transferase, C-terminal domain (domain)"
PF21999,1,"DNA polymerase-iota, thumb domain (domain)"
PF21948,1,Lipoyl protein ligase A/B catalytic domain (domain)
PF21165,1,Fibroblast growth factor receptor 3 transmembrane domain (domain)
PF21249,1,"GyrB, hook (domain)"
PF21296,1,"Apoptotic protease-activating factor 1-like, winged-helix domain (domain)"
PF21314,1,Epidermal growth factor receptor transmembrane-juxtamembrane segment (domain)
PF21340,1,"Cip1-like, core domain (domain)"
PF21352,1,"Thioredoxin 2, N-terminal (domain)"
PF21447,1,"Ppx/GppA phosphatase, domain III (domain)"
PF21471,1,Reelin subrepeat B (repeat)
PF21485,1,"Translation initiation factor 5A-like, N-terminal (domain)"
PF00024,1,PAN domain (domain)
PF21524,1,"SAM domain-containing protein 1, WH domain (domain)"
PF21538,1,ARC105/Med15 mediator subunit central domain (domain)
PF21539,1,ARC105/Med15 mediator subunit C-terminal domain (domain)
PF21592,1,"Bc2l-C, N-terminal domain (domain)"
PF21735,1,C-terminal repeat from RTX toxins (repeat)
PF21758,1,Bacterial proteasome assembling chaperone-like protein (domain)
PF21761,1,"NADPH-dependent reductive aminase-like, C-terminal domain (domain)"
PF21862,1,CiaD-like protein (family)
PF21932,1,"MIC2-associated protein, central beta-domain (domain)"
PF17978,1,RING/Ubox like zinc-binding domain (domain)
PF17976,1,RING/Ubox like zinc-binding domain (domain)
PF17968,1,Toll-like receptor 3 trans-membrane domain (domain)
PF14651,1,Lipocalin / cytosolic fatty-acid binding protein family (domain)
PF14444,1,S1-like (domain)
PF14449,1,Pre-toxin TG (family)
PF14487,1,"ssDNA thymidine ADP-ribosyltransferase, DarT (family)"
PF14575,1,Ephrin type-A receptor 2 transmembrane domain (domain)
PF14580,1,Leucine-rich repeat (repeat)
PF14599,1,Zinc-ribbon (domain)
PF14619,1,"Snf2-ATP coupling, chromatin remodelling complex (domain)"
PF14623,1,Hint-domain (domain)
PF14624,1,VWA / Hh protein intein-like (domain)
PF14713,1,Domain of unknown function (DUF4464) (family)
PF16123,1,Hydroxyacylglutathione hydrolase C-terminus (family)
PF14716,1,Helix-hairpin-helix domain (domain)
PF14791,1,DNA polymerase beta thumb (family)
PF14792,1,DNA polymerase beta palm (domain)
PF14829,1,Glycerol-3-phosphate acyltransferase N-terminal (domain)
PF14843,1,Growth factor receptor domain IV (domain)
PF14904,1,Family of unknown function (family)
PF15613,1,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif (family)"
PF15923,1,Domain of unknown function (DUF4745) (family)
PF16016,1,VAD1 Analog of StAR-related lipid transfer domain (domain)
PF14443,1,DBC1 (domain)
PF14206,1,Cysteine-rich CPCC (family)
PF14200,1,Ricin-type beta-trefoil lectin domain-like (domain)
PF14064,1,HmuY protein (family)
PF13580,1,SIS domain (domain)
PF13589,1,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase (domain)"
PF13621,1,Cupin-like domain (domain)
PF13624,1,SurA-like N-terminal domain (domain)
PF13637,1,Ankyrin repeats (many copies) (repeat)
PF13639,1,Ring finger domain (domain)
PF13640,1,2OG-Fe(II) oxygenase superfamily (domain)
PF13649,1,Methyltransferase domain (domain)
PF13716,1,Divergent CRAL/TRIO domain (domain)
PF13764,1,E3 ubiquitin-protein ligase UBR4 (family)
PF13768,1,von Willebrand factor type A domain (domain)
PF13771,1,PHD-like zinc-binding domain (domain)
PF13848,1,Thioredoxin-like domain (domain)
PF13893,1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) (domain)"
PF00108,1,"Thiolase, N-terminal domain (domain)"
PF13930,1,DNA/RNA non-specific endonuclease (domain)
PF13984,1,MsyB protein (family)
PF14028,1,Lantibiotic biosynthesis dehydratase C-term (domain)
PF14061,1,Polycomb-like MTF2 factor 2 (domain)
PF16031,1,TonB polyproline region (disordered)
PF16179,1,Rel homology dimerisation domain (domain)
PF17964,1,Bacterial Ig domain (domain)
PF17708,1,Gasdermin PUB domain (domain)
PF17102,1,"Stealth protein CR3, conserved region 3 (family)"
PF17103,1,"Stealth protein CR4, conserved region 4 (family)"
PF17105,1,C-terminal domain of bromodomain protein 4 (family)
PF00086,1,Thyroglobulin type-1 repeat (domain)
PF17205,1,Integrin plexin domain (domain)
PF17243,1,POTRA domain TamA domain 1 (domain)
PF17284,1,Spermidine synthase tetramerisation domain (domain)
PF00084,1,Sushi repeat (SCR repeat) (domain)
PF17681,1,Gamma tubulin complex component N-terminal (domain)
PF17725,1,YAP binding domain (domain)
PF16190,1,Ubiquitin-activating enzyme E1 FCCH domain (domain)
PF17749,1,Microtubule-binding protein MIP-T3 C-terminal region (coiled_coil)
PF17772,1,MYST family zinc finger domain (domain)
PF17793,1,ANC1 homology domain (AHD) (domain)
PF00080,1,Copper/zinc superoxide dismutase (SODC) (domain)
PF17837,1,4'-phosphopantetheinyl transferase N-terminal domain (domain)
PF17870,1,Insulin receptor trans-membrane segment (domain)
PF00079,1,Serpin (serine protease inhibitor) (domain)
PF17908,1,APAF-1 helical domain (domain)
PF17927,1,"Inositol 1,3,4-trisphosphate 5/6-kinase pre-ATP-grasp domain (domain)"
PF17101,1,"Stealth protein CR1, conserved region 1 (family)"
PF16864,1,
PF16811,1,TRAP transporter T-component (repeat)
PF16694,1,Cytochrome P460 (domain)
PF16191,1,Ubiquitin-activating enzyme E1 four-helix bundle (domain)
PF16315,1,Domain of unknown function (DUF4955) (repeat)
PF16363,1,"GDP-mannose 4,6 dehydratase (domain)"
PF16414,1,Niemann-Pick C1 N terminus (domain)
PF00090,1,Thrombospondin type 1 domain (domain)
PF16493,1,TALE/MEIS homeobox family N-terminal domain (domain)
PF16558,1,Amino-terminal Zinc-binding domain of ubiquitin ligase E3A (domain)
PF16592,1,REC lobe of CRISPR-associated endonuclease Cas9 (family)
PF16593,1,Bridge helix of CRISPR-associated endonuclease Cas9 (family)
PF16595,1,PAM-interacting domain of CRISPR-associated endonuclease Cas9 (domain)
PF16609,1,SH3-RhoGEF linking unstructured region (disordered)
PF16629,1,Armadillo-associated region on APC (disordered)
PF16630,1,Unstructured region on APC between 1st and 2nd catenin-bdg motifs (disordered)
PF16633,1,Unstructured region on APC between 1st two creatine-rich regions (disordered)
PF16634,1,Unstructured region on APC between APC_crr and SAMP (disordered)
PF16635,1,Unstructured region on APC between SAMP and APC_crr (disordered)
PF16636,1,Unstructured region on APC between APC_crr regions 5 and 6 (disordered)
PF16661,1,Metallo-beta-lactamase superfamily domain (domain)
PF16689,1,"Coiled-coil N-terminus of APC, dimerisation domain (coiled_coil)"
PF15269,1,Zinc-finger (domain)
PF07472,1,Fucose-binding lectin II (PA-IIL) (family)
PF08459,1,UvrC RNAse H endonuclease domain (domain)
PF01926,1,50S ribosome-binding GTPase (family)
PF01725,1,Ham1 family (domain)
PF01751,1,Toprim domain (family)
PF01753,1,MYND finger (domain)
PF01758,1,Sodium Bile acid symporter family (family)
PF01791,1,DeoC/LacD family aldolase (domain)
PF01794,1,Ferric reductase like transmembrane component (family)
PF01795,1,MraW methylase family (family)
PF01846,1,FF domain (family)
PF01853,1,MOZ/SAS family (family)
PF00432,1,Prenyltransferase alpha-alpha toroid domain (repeat)
PF01928,1,CYTH domain (domain)
PF08450,1,SMP-30/Gluconolactonase/LRE-like region (repeat)
PF01951,1,Archease protein family (MTH1598/TM1083) (domain)
PF01965,1,DJ-1/PfpI family (domain)
PF01966,1,HD domain (family)
PF01973,1,6-hydroxymethylpterin diphosphokinase MptE-like (family)
PF01979,1,Amidohydrolase family (domain)
PF01984,1,Double-stranded DNA-binding domain (family)
PF02008,1,CXXC zinc finger domain (domain)
PF02013,1,Cellulose or protein binding domain (domain)
PF02018,1,Carbohydrate binding domain (domain)
PF00415,1,Regulator of chromosome condensation (RCC1) repeat (repeat)
PF01712,1,Deoxynucleoside kinase (domain)
PF01686,1,Adenovirus penton base protein (family)
PF01653,1,NAD-dependent DNA ligase adenylation domain (domain)
PF01652,1,Eukaryotic initiation factor 4E (domain)
PF01463,1,Leucine rich repeat C-terminal domain (family)
PF01464,1,Transglycosylase SLT domain (domain)
PF01494,1,FAD binding domain (family)
PF01507,1,Phosphoadenosine phosphosulfate reductase family (family)
PF01509,1,TruB family pseudouridylate synthase (N terminal domain) (family)
PF01510,1,N-acetylmuramoyl-L-alanine amidase (domain)
PF00478,1,IMP dehydrogenase / GMP reductase domain (domain)
PF01541,1,GIY-YIG catalytic domain (domain)
PF01544,1,CorA-like Mg2+ transporter protein (family)
PF01546,1,Peptidase family M20/M25/M40 (family)
PF00465,1,Iron-containing alcohol dehydrogenase (domain)
PF01553,1,Acyltransferase (family)
PF01564,1,Spermine/spermidine synthase domain (domain)
PF01569,1,PAP2 superfamily (family)
PF00459,1,Inositol monophosphatase family (family)
PF01588,1,Putative tRNA binding domain (domain)
PF01590,1,GAF domain (domain)
PF00457,1,Glycosyl hydrolases family 11 (domain)
PF01627,1,Hpt domain (family)
PF01636,1,Phosphotransferase enzyme family (family)
PF01648,1,4'-phosphopantetheinyl transferase superfamily (domain)
PF02033,1,Ribosome-binding factor A (family)
PF02037,1,SAP domain (domain)
PF00413,1,Matrixin (domain)
PF02373,1,"JmjC domain, hydroxylase (domain)"
PF02377,1,Dishevelled specific domain (family)
PF02394,1,Interleukin-1 propeptide (family)
PF02397,1,Bacterial sugar transferase (family)
PF02407,1,Putative viral replication protein (family)
PF02430,1,Apical membrane antigen 1 (family)
PF02460,1,Patched SSD (domain)
PF02462,1,Opacity family porin protein (family)
PF02466,1,Tim17/Tim22/Tim23/Pmp24 family (family)
PF02515,1,CoA-transferase family III (family)
PF00404,1,Dockerin type I domain (domain)
PF02541,1,Ppx/GppA phosphatase family (family)
PF02607,1,B12 binding domain (domain)
PF02613,1,Nitrate reductase delta subunit (family)
PF02700,1,Phosphoribosylformylglycinamidine (FGAM) synthase (family)
PF02729,1,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain (domain)"
PF02742,1,"Iron dependent repressor, metal binding and dimerisation domain (domain)"
PF02743,1,Cache domain (domain)
PF02747,1,"Proliferating cell nuclear antigen, C-terminal domain (domain)"
PF00397,1,WW domain (domain)
PF02769,1,"AIR synthase related protein, C-terminal domain (domain)"
PF02786,1,"Carbamoyl-phosphate synthase L chain, ATP binding domain (domain)"
PF02375,1,jmjN domain (family)
PF02353,1,Mycolic acid cyclopropane synthetase (family)
PF02135,1,TAZ zinc finger (family)
PF02310,1,B12 binding domain (domain)
PF02136,1,Nuclear transport factor 2 (NTF2) domain (domain)
PF02137,1,Adenosine-deaminase (editase) domain (family)
PF02142,1,MGS-like domain (domain)
PF00412,1,LIM domain (domain)
PF02151,1,UvrB/uvrC motif (family)
PF02166,1,Androgen receptor (family)
PF02172,1,KIX domain (domain)
PF02180,1,Bcl-2 homology region 4 (family)
PF02182,1,SAD/SRA domain (domain)
PF02189,1,Immunoreceptor tyrosine-based activation motif (conserved_site)
PF02191,1,Olfactomedin-like domain (repeat)
PF02194,1,PXA domain (family)
PF00406,1,Adenylate kinase (domain)
PF02212,1,Dynamin GTPase effector domain (family)
PF02225,1,PA domain (domain)
PF00405,1,Transferrin (domain)
PF02237,1,Biotin protein ligase C terminal domain (domain)
PF02250,1,Viral chemokine binding protein (domain)
PF02275,1,"Linear amide C-N hydrolases, choloylglycine hydrolase family (domain)"
PF02278,1,"Polysaccharide lyase family 8, super-sandwich domain (family)"
PF02295,1,Adenosine deaminase z-alpha domain (domain)
PF01447,1,"Thermolysin metallopeptidase, catalytic domain (domain)"
PF00481,1,Protein phosphatase 2C (family)
PF01428,1,AN1-like Zinc finger (family)
PF00701,1,Dihydrodipicolinate synthetase family (domain)
PF00719,1,Inorganic pyrophosphatase (domain)
PF00727,1,Interleukin 4 (domain)
PF00728,1,"Glycosyl hydrolase family 20, catalytic domain (domain)"
PF00730,1,HhH-GPD superfamily base excision DNA repair protein (domain)
PF00537,1,Scorpion toxin-like domain (domain)
PF00756,1,Putative esterase (domain)
PF00762,1,Ferrochelatase (domain)
PF00769,1,Ezrin/radixin/moesin family C terminal (domain)
PF00778,1,DIX domain (family)
PF00780,1,CNH domain (repeat)
PF00786,1,P21-Rho-binding domain (domain)
PF00787,1,PX domain (domain)
PF00788,1,Ras association (RalGDS/AF-6) domain (domain)
PF00797,1,N-acetyltransferase (family)
PF00798,1,Arenavirus glycoprotein (family)
PF00817,1,impB/mucB/samB family (family)
PF00840,1,Glycosyl hydrolase family 7 (domain)
PF00891,1,O-methyltransferase domain (domain)
PF00899,1,ThiF family (domain)
PF00903,1,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily (domain)
PF00530,1,Scavenger receptor cysteine-rich domain (domain)
PF00705,1,"Proliferating cell nuclear antigen, N-terminal domain (domain)"
PF00700,1,Bacterial flagellin C-terminal helical region (family)
PF00929,1,Exonuclease (family)
PF00553,1,Cellulose binding domain (domain)
PF00605,1,Interferon regulatory factor transcription factor (domain)
PF00610,1,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP) (domain)"
PF00615,1,Regulator of G protein signaling domain (domain)
PF00617,1,RasGEF domain (family)
PF00618,1,RasGEF N-terminal motif (domain)
PF00578,1,AhpC/TSA family (domain)
PF00625,1,Guanylate kinase (domain)
PF00576,1,HIUase/Transthyretin family (domain)
PF00629,1,"MAM domain, meprin/A5/mu (domain)"
PF00569,1,"Zinc finger, ZZ type (domain)"
PF00635,1,MSP (Major sperm protein) domain (domain)
PF00639,1,PPIC-type PPIASE domain (domain)
PF00641,1,Zn-finger in Ran binding protein and others (domain)
PF00642,1,Zinc finger C-x8-C-x5-C-x3-H type (and similar) (family)
PF00567,1,Tudor domain (domain)
PF00557,1,Metallopeptidase family M24 (domain)
PF00652,1,Ricin-type beta-trefoil lectin domain (domain)
PF00656,1,Caspase domain (domain)
PF00659,1,POLO box duplicated region (family)
PF00669,1,Bacterial flagellin N-terminal helical region (family)
PF00554,1,Rel homology DNA-binding domain (domain)
PF00528,1,Binding-protein-dependent transport system inner membrane component (family)
PF00931,1,NB-ARC domain (domain)
PF01426,1,BAH domain (domain)
PF01237,1,Oxysterol-binding protein (family)
PF01261,1,Xylose isomerase-like TIM barrel (domain)
PF01279,1,Parathyroid hormone family (family)
PF01285,1,TEA/ATTS domain (domain)
PF01287,1,"Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold (domain)"
PF01288,1,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK) (domain)"
PF01297,1,Zinc-uptake complex component A periplasmic (family)
PF01302,1,CAP-Gly domain (domain)
PF01323,1,DSBA-like thioredoxin domain (domain)
PF01325,1,"Iron dependent repressor, N-terminal DNA binding domain (domain)"
PF01327,1,Polypeptide deformylase (domain)
PF01346,1,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase (domain)
PF01352,1,KRAB box (family)
PF01358,1,Poly A polymerase regulatory subunit (domain)
PF01379,1,"Porphobilinogen deaminase, dipyromethane cofactor binding domain (domain)"
PF00483,1,Nucleotidyl transferase (family)
PF01390,1,SEA domain (family)
PF01392,1,Fz domain (domain)
PF01402,1,"Ribbon-helix-helix protein, copG family (domain)"
PF01404,1,Ephrin receptor ligand binding domain (domain)
PF01408,1,"Oxidoreductase family, NAD-binding Rossmann fold (family)"
PF01416,1,tRNA pseudouridine synthase (domain)
PF01255,1,Putative undecaprenyl diphosphate synthase (family)
PF01233,1,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain (domain)"
PF00932,1,Lamin Tail Domain (domain)
PF01207,1,Dihydrouridine synthase (Dus) (family)
PF00937,1,Coronavirus nucleocapsid (family)
PF00959,1,Phage lysozyme (domain)
PF00986,1,"DNA gyrase B subunit, carboxyl terminus (family)"
PF00988,1,"Carbamoyl-phosphate synthase small chain, CPSase domain (domain)"
PF00989,1,PAS fold (domain)
PF00994,1,Probable molybdopterin binding domain (domain)
PF01026,1,TatD related DNase (domain)
PF01031,1,Dynamin central region (family)
PF00515,1,Tetratricopeptide repeat (repeat)
PF00514,1,Armadillo/beta-catenin-like repeat (repeat)
PF01063,1,Amino-transferase class IV (domain)
PF01071,1,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain (domain)"
PF01073,1,3-beta hydroxysteroid dehydrogenase/isomerase family (family)
PF01082,1,"Copper type II ascorbate-dependent monooxygenase, N-terminal domain (domain)"
PF01095,1,Pectinesterase (repeat)
PF01096,1,Transcription factor S-II (TFIIS) (domain)
PF01103,1,Omp85 superfamily domain (domain)
PF01149,1,Formamidopyrimidine-DNA glycosylase N-terminal domain (domain)
PF01152,1,Bacterial-like globin (domain)
PF01180,1,Dihydroorotate dehydrogenase (domain)
PF01195,1,Peptidyl-tRNA hydrolase (domain)
PF02787,1,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain (domain)"
PF02791,1,DDT domain (family)
PF02799,1,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain (domain)"
PF00294,1,pfkB family carbohydrate kinase (domain)
PF06221,1,"Putative zinc finger motif, C2HC5-type (domain)"
PF06247,1,Pvs28 EGF domain (domain)
PF06325,1,Ribosomal protein L11 methyltransferase (PrmA) (family)
PF06334,1,Orthopoxvirus A47 protein (family)
PF06438,1,Heme-binding protein A (HasA) (domain)
PF06464,1,DMAP1-binding Domain (domain)
PF06474,1,MltD lipid attachment motif (conserved_site)
PF00258,1,Flavodoxin (domain)
PF06490,1,Flagellar regulatory protein FleQ (domain)
PF06500,1,Esterase FrsA-like (family)
PF06529,1,Vertebrate interleukin-3 regulated transcription factor (family)
PF06723,1,MreB/Mbl protein (family)
PF06827,1,Zinc finger found in FPG and IleRS (domain)
PF06957,1,Coatomer (COPI) alpha subunit C-terminus (repeat)
PF06962,1,Putative rRNA methylase (family)
PF06968,1,Biotin and Thiamin Synthesis associated domain (domain)
PF07002,1,Copine (family)
PF07092,1,TM106 protein C-terminal domain (domain)
PF07095,1,Intracellular growth attenuator protein IgaA (family)
PF07127,1,Late nodulin domain (domain)
PF07196,1,Flagellin hook IN motif (conserved_site)
PF06089,1,L-asparaginase II (family)
PF06018,1,CodY GAF-like domain (domain)
PF07240,1,Stress-inducible humoral factor Turandot (family)
PF06003,1,"Survival motor neuron protein (SMN), Tudor domain (domain)"
PF05494,1,MlaC protein (family)
PF05495,1,CHY zinc finger (domain)
PF05497,1,Destabilase (family)
PF05527,1,Domain of unknown function (DUF758) (family)
PF05572,1,Pregnancy-associated plasma protein-A (family)
PF05594,1,Haemagglutinin repeat (repeat)
PF05641,1,Agenet domain (domain)
PF05721,1,Phytanoyl-CoA dioxygenase (PhyH) (domain)
PF05724,1,Thiopurine S-methyltransferase (TPMT) (family)
PF05742,1,Transport and Golgi organisation 2 (family)
PF05770,1,"Inositol 1,3,4-trisphosphate 5/6-kinase ATP-grasp domain (domain)"
PF05860,1,TPS secretion domain (repeat)
PF05920,1,Homeobox KN domain (family)
PF05922,1,Peptidase inhibitor I9 (domain)
PF05923,1,APC repeat (conserved_site)
PF05924,1,SAMP Motif (conserved_site)
PF05937,1,EB-1 Binding Domain (family)
PF05956,1,APC basic domain (family)
PF05972,1,APC 15 residue motif (conserved_site)
PF05996,1,Ferredoxin-dependent bilin reductase (family)
PF06001,1,"CREB-binding protein/p300, atypical RING domain (domain)"
PF07200,1,Modifier of rudimentary (Mod(r)) protein (domain)
PF07244,1,Surface antigen variable number repeat (domain)
PF05431,1,"Insecticidal Crystal Toxin, P42 (family)"
PF07963,1,Prokaryotic N-terminal methylation motif (conserved_site)
PF00225,1,Kinesin motor domain (domain)
PF07987,1,Domain of unkown function (DUF1775) (domain)
PF07992,1,Pyridine nucleotide-disulphide oxidoreductase (domain)
PF07995,1,Glucose / Sorbosone dehydrogenase (repeat)
PF08030,1,Ferric reductase NAD binding domain (domain)
PF08123,1,Histone methylation protein DOT1 (domain)
PF08124,1,"Polysaccharide lyase family 8, N terminal alpha-helical domain (repeat)"
PF08190,1,PIH1 N-terminal domain (domain)
PF08222,1,CodY helix-turn-helix domain (domain)
PF08238,1,Sel1 repeat (repeat)
PF08239,1,Bacterial SH3 domain (domain)
PF00212,1,Atrial natriuretic peptide (family)
PF00208,1,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase (domain)
PF08279,1,HTH domain (domain)
PF08280,1,M protein trans-acting positive regulator (MGA) HTH domain (domain)
PF08405,1,Viral polyprotein N-terminal (family)
PF08428,1,Rib domain (domain)
PF00204,1,DNA gyrase B (domain)
PF00200,1,Disintegrin (domain)
PF08443,1,RimK-like ATP-grasp domain (domain)
PF08447,1,PAS fold (domain)
PF07965,1,Integrin beta tail domain (domain)
PF07934,1,"8-oxoguanine DNA glycosylase, N-terminal domain (family)"
PF07447,1,Matrix protein VP40 (domain)
PF07885,1,Ion channel (family)
PF00583,1,Acetyltransferase (GNAT) family (family)
PF07500,1,"Transcription factor S-II (TFIIS), central domain (domain)"
PF07504,1,Fungalysin/Thermolysin Propeptide Motif (conserved_site)
PF07521,1,Zn-dependent metallo-hydrolase RNA specificity domain (conserved_site)
PF07529,1,HSA domain (family)
PF07533,1,BRK domain (domain)
PF07534,1,TLD (domain)
PF07634,1,RtxA repeat (repeat)
PF07647,1,SAM domain (Sterile alpha motif) (domain)
PF00246,1,Zinc carboxypeptidase (domain)
PF00244,1,14-3-3 protein (repeat)
PF00235,1,Profilin (domain)
PF07687,1,Peptidase dimerisation domain (domain)
PF07689,1,KaiB domain (domain)
PF00233,1,3'5'-cyclic nucleotide phosphodiesterase (domain)
PF07716,1,Basic region leucine zipper (coiled_coil)
PF00230,1,Major intrinsic protein (family)
PF07730,1,Histidine kinase (domain)
PF00229,1,TNF(Tumour Necrosis Factor) family (domain)
PF07847,1,PCO_ADO (family)
PF07859,1,alpha/beta hydrolase fold (domain)
PF05474,1,Semenogelin (family)
PF05423,1,Mycobacterium membrane protein (family)
PF02812,1,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain (domain)"
PF03214,1,Reversibly glycosylated polypeptide (family)
PF00354,1,Pentaxin family (domain)
PF03283,1,Pectinacetylesterase (family)
PF03301,1,"Tryptophan 2,3-dioxygenase (family)"
PF03331,1,UDP-3-O-acyl N-acetylglycosamine deacetylase (family)
PF03341,1,"Poxvirus mRNA capping enzyme, small subunit (family)"
PF03366,1,YEATS family (domain)
PF00350,1,Dynamin family (domain)
PF03401,1,Tripartite tricarboxylate transporter family receptor (family)
PF03413,1,Peptidase propeptide and YPEB domain (domain)
PF03443,1,Auxiliary Activity family 9 (formerly GH61) (family)
PF03446,1,NAD binding domain of 6-phosphogluconate dehydrogenase (domain)
PF03505,1,Clostridium enterotoxin (family)
PF03544,1,Gram-negative bacterial TonB protein C-terminal (domain)
PF03550,1,Outer membrane lipoprotein LolB (family)
PF03551,1,Transcriptional regulator PadR-like family (domain)
PF03576,1,Peptidase family S58 (family)
PF03595,1,Voltage-dependent anion channel (family)
PF03642,1,MAP domain (domain)
PF03702,1,Anhydro-N-acetylmuramic acid kinase (family)
PF03712,1,"Copper type II ascorbate-dependent monooxygenase, C-terminal domain (domain)"
